alpha,beta,z ratio,smooth ratio
4411580.79622078,548928.6942014506,-0.5931304716681824,0.21514596665489216
4799912.752340014,553228.4283995873,-0.46423005356916774,0.23202561865017376
4799912.752340014,553228.4283995873,-0.46423005356916774,0.2472173054459272
5069433.388060942,556109.9220077349,-0.37559931633539617,0.2631055919929496
5488862.3829164095,561218.685172349,-0.24168049470565797,0.2807530204260132
5932262.188175157,566808.221356965,-0.10343687379255982,0.30009179653859785
5932262.188175157,566808.221356965,-0.10343687379255982,0.31749669503992406
6391541.1309841955,573271.6920294083,0.034267430780988394,0.3366037113054564
6706968.8299148455,578229.0846860355,0.12495860061899622,0.35606730519038565
7198048.045557707,586727.225137815,0.25980594240486443,0.3769557232314687
7701072.976032928,596811.1433167566,0.38791864357130473,0.3989581169976045
7701072.976032928,596811.1433167566,0.38791864357130473,0.4187602713871267
8218645.916138249,608177.292709959,0.5108508322665848,0.43965551505507866
8572492.864528913,617133.0510313001,0.5868968802042736,0.4603623855546777
9107786.540004408,631718.7521745306,0.693052030006191,0.4816524477493647
9107786.540004408,631718.7521745306,0.693052030006191,0.5008135037245831
9652654.907998696,648815.5683076076,0.7857503977363726,0.5203759132955341
10205219.793818844,667494.1643033985,0.8686981923003364,0.5400557767734891
10573435.756022446,681753.9003755843,0.9131076260383305,0.5588778897470985
10573435.756022446,681753.9003755843,0.9131076260383305,0.575817791423347
11129171.995236149,704354.5737257353,0.971837022249938,0.5925319378372608
11685704.339549754,730042.5180917579,1.0134327982843119,0.6086145640106425
12052652.386289291,747961.7644046802,1.0350238743065623,0.6236287044672424
12601098.866082262,777705.3466316384,1.0529489439191366,0.6375895576184967
12601098.866082262,777705.3466316384,1.0529489439191366,0.6501543254546255
13142243.523202566,809179.004471325,1.0607159544220917,0.6616567917697153
13670179.330822522,843754.5997377689,1.0526836672936248,0.6718082042750844
14016601.926635537,867500.802801415,1.0437833670131285,0.6807219680229042
14016601.926635537,867500.802801415,1.0437833670131285,0.688744355395942
14522901.494365696,905865.7878065653,1.0185095261352093,0.6953326580097281
15008682.720477484,945601.3096639846,0.9862654420671434,0.700456028260434
15008682.720477484,945601.3096639846,0.9862654420671434,0.7050670614860692
15476795.633019155,987777.4184156118,0.945184736227745,0.708189973743156
15918984.997313011,1031368.8060726579,0.8981198142518013,0.7098239717251353
16199559.167274836,1061412.773858553,0.8633381726974594,0.7104250288700583
16199559.167274836,1061412.773858553,0.8633381726974594,0.710965980300489
16599162.223910453,1107166.192870639,0.8089569402248137,0.7100933057760604
16599162.223910453,1107166.192870639,0.8089569402248137,0.7093078987040747
16966742.34791009,1154093.3827489207,0.7502761860489147,0.7071340134848901
17509410.58129143,1233685.657451753,0.6477576707417807,0.7026145539049456
17509410.58129143,1233685.657451753,0.6477576707417807,0.6985470402829956
17786882.08736205,1281699.923512172,0.5842234620938093,0.6932979228070414
18028921.18398036,1329234.0329924184,0.5208935558994999,0.6869904694238248
18028921.18398036,1329234.0329924184,0.5208935558994999,0.6813137613789298
18232836.929811537,1376664.635236754,0.4565557759544132,0.6745962796398972
18345621.691423558,1407285.8132070492,0.4146211944932911,0.6675021815382397
18483372.97961342,1452780.487763044,0.35144523937062505,0.6595380943686814
18483372.97961342,1452780.487763044,0.35144523937062505,0.6523704159160789
18579546.241937228,1496091.052709933,0.2901613161574611,0.6443874072284075
18633894.915566422,1538113.0148666832,0.22889336335392851,0.635671000589415
18647980.553449776,1564257.1242581112,0.18989425755738976,0.6268512569694082
18647980.553449776,1564257.1242581112,0.18989425755738976,0.6189134877114022
18633589.895082615,1602135.4650507646,0.1312709895180669,0.6103039136782137
18577028.747663043,1636385.181926735,0.07523565502235131,0.601154413685951
